2025-08-29T12:46:15.783219: Failed to download video 156: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/156', '-o', 'fcva_videos/videos/video_156.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:18.386046: Failed to download video 157: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/157', '-o', 'fcva_videos/videos/video_157.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:21.214575: Failed to download video 158: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/158', '-o', 'fcva_videos/videos/video_158.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:24.252893: Failed to download video 159: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/159', '-o', 'fcva_videos/videos/video_159.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:26.498345: Failed to download video 160: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/160', '-o', 'fcva_videos/videos/video_160.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:28.794929: Failed to download video 161: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/161', '-o', 'fcva_videos/videos/video_161.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:31.001974: Failed to download video 162: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/162', '-o', 'fcva_videos/videos/video_162.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:33.277962: Failed to download video 163: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/163', '-o', 'fcva_videos/videos/video_163.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:35.529829: Failed to download video 164: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/164', '-o', 'fcva_videos/videos/video_164.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:38.225053: Failed to download video 165: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/165', '-o', 'fcva_videos/videos/video_165.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:40.546131: Failed to download video 166: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/166', '-o', 'fcva_videos/videos/video_166.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:43.389980: Failed to download video 167: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/167', '-o', 'fcva_videos/videos/video_167.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:45.668101: Failed to download video 168: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/168', '-o', 'fcva_videos/videos/video_168.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:47.928538: Failed to download video 169: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/169', '-o', 'fcva_videos/videos/video_169.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:50.084629: Failed to download video 170: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/170', '-o', 'fcva_videos/videos/video_170.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:52.112189: Failed to download video 171: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/171', '-o', 'fcva_videos/videos/video_171.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:54.203535: Failed to download video 172: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/172', '-o', 'fcva_videos/videos/video_172.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:56.448124: Failed to download video 173: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/173', '-o', 'fcva_videos/videos/video_173.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:46:58.595709: Failed to download video 174: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/174', '-o', 'fcva_videos/videos/video_174.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:00.566942: Failed to download video 175: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/175', '-o', 'fcva_videos/videos/video_175.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:02.802556: Failed to download video 176: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/176', '-o', 'fcva_videos/videos/video_176.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:05.852588: Failed to download video 177: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/177', '-o', 'fcva_videos/videos/video_177.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:07.897745: Failed to download video 178: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/178', '-o', 'fcva_videos/videos/video_178.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:12.047395: Failed to download video 179: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/179', '-o', 'fcva_videos/videos/video_179.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:15.150613: Failed to download video 180: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/180', '-o', 'fcva_videos/videos/video_180.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:17.305231: Failed to download video 181: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/181', '-o', 'fcva_videos/videos/video_181.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:19.565339: Failed to download video 182: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/182', '-o', 'fcva_videos/videos/video_182.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
2025-08-29T12:47:21.568061: Failed to download video 183: Command '['yt-dlp', 'https://fcva.granicus.com/player/clip/183', '-o', 'fcva_videos/videos/video_183.%(ext)s', '--write-info-json']' returned non-zero exit status 1.
